date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:56	41733/41733	---M--	200	added ('OK')	image/jpeg	etag:%2261369be3-a305%22	http://sunimmo.staticlbi.com/500x500/images/biens/1/4a4d5b872a35c641c510faf8abebcfd6/original/87fa78a0991efb1825156135a77676a9.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/1/4a4d5b872a35c641c510faf8abebcfd6/original/87fa78a0991efb1825156135a77676a9.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:56	865/865	---M--	200	added ('OK')	image/png	etag:%22361-58d677e9a9f97%22	https://www.sun-immobilier.fr/images/alerteLst.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/alerteLst.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:57	4105/4105	---M--	200	added ('OK')	image/jpeg	etag:%221009-58d677e9e6880%22	https://www.sun-immobilier.fr/images/logo_footer.jpg	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/logo_footer.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:57	932/932	---M--	200	added ('OK')	image/png	etag:%223a4-58d677e9d1a26%22	https://www.sun-immobilier.fr/images/logoLBI.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/logoLBI.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:58	2121/2121	---M--	200	added ('OK')	image/png	etag:%22849-58d677e99d973%22	https://www.sun-immobilier.fr/images/fnaim.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/fnaim.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:59	2643/2643	---M--	200	added ('OK')	image/png	etag:%22a53-58d677e9a0b97%22	https://www.sun-immobilier.fr/images/galian.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/galian.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:59	1980/1980	---M--	200	added ('OK')	image/png	etag:%227bc-58d677e9fa354%22	https://www.sun-immobilier.fr/images/amip.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/amip.png	(from https://www.sun-immobilier.fr/a-louer/)
19:20:01	93057/93057	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	C:/Mes%20Sites%20Web/mathis2/ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	(from https://www.sun-immobilier.fr/a-louer/)
19:20:01	253669/253669	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3dee5%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://www.sun-immobilier.fr/a-louer/)
19:20:02	11283/11283	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ebe-2c13%22	https://cdnjs.cloudflare.com/ajax/libs/jarallax/1.9.0/jarallax.min.js	C:/Mes%20Sites%20Web/mathis2/cdnjs.cloudflare.com/ajax/libs/jarallax/1.9.0/jarallax.min.js	(from https://www.sun-immobilier.fr/a-louer/)
